datetime;open;high;low;close;volume
2021-04-09;130.00000;131.39999;129.47000;131.23000;14862822
2021-04-08;128.95000;130.39000;128.52000;130.36000;88636600
2021-04-07;125.83000;127.92000;125.14000;127.90000;83220900
2021-04-06;126.50000;127.13000;125.65000;126.21000;79463200
2021-04-05;123.87000;126.16010;123.07000;125.90000;86139134
2021-04-01;123.66000;124.18000;122.49000;123.00000;74957400
2021-03-31;121.65000;123.52000;121.15000;122.15000;118162900
2021-03-30;120.11000;120.40000;118.86000;119.90000;85523800
2021-03-29;121.65000;122.58000;120.73000;121.39000;80742600
2021-03-26;120.35000;121.48000;118.92000;121.21000;94071200
2021-03-25;119.54000;121.66000;119.00000;120.59000;98844700
2021-03-24;122.82000;122.90000;120.07000;120.09000;88530500
2021-03-23;123.33000;124.24000;122.14000;122.54000;95467100
2021-03-22;120.33000;123.87000;120.26000;123.39000;111912300
2021-03-19;119.90000;121.43000;119.68000;119.99000;185549500
2021-03-18;122.88000;123.18000;120.32000;120.53000;121469800
2021-03-17;124.05000;125.86000;122.34000;124.76000;111932600
2021-03-16;125.70000;127.22000;124.72000;125.57000;115227900
2021-03-15;121.41000;124.00000;120.42000;123.99000;92403800
2021-03-12;120.40000;121.17000;119.16000;121.03000;88105100
2021-03-11;122.54000;123.21000;121.26000;121.96000;103026500
2021-03-10;121.69000;122.17000;119.45000;119.98000;111943300
2021-03-09;119.03000;122.06000;118.79000;121.09000;129525800
2021-03-08;120.93000;121.00000;116.21000;116.36000;154376600
2021-03-05;120.98000;121.94000;117.57000;121.42000;153766600
2021-03-04;121.75000;123.60000;118.62000;120.13000;178155000
2021-03-03;124.81000;125.71000;121.84000;122.06000;112966300
2021-03-02;128.41000;128.72000;125.01000;125.12000;102260900
2021-03-01;123.75000;127.93000;122.79000;127.79000;116307900
2021-02-26;122.59000;124.85000;121.20000;121.26000;164560400
2021-02-25;124.68000;126.46000;120.54000;120.99000;148199500
2021-02-24;124.94000;125.56000;122.23000;125.35000;111039900
2021-02-23;123.76000;126.71000;118.39000;125.86000;158273000
2021-02-22;128.00999;129.72000;125.60000;126.00000;103916400
2021-02-19;130.24001;130.71001;128.80000;129.87000;87668800
2021-02-18;129.20000;130.00000;127.41000;129.71001;96856700
2021-02-17;131.25000;132.22000;129.47000;130.84000;97918500
2021-02-16;135.49001;136.00999;132.78999;133.19000;80576300
2021-02-12;134.35001;135.53000;133.69000;135.37000;60145100
2021-02-11;135.89999;136.39000;133.77000;135.13000;64280000
2021-02-10;136.48000;136.99001;134.39999;135.39000;73046600
2021-02-09;136.62000;137.88000;135.85001;136.00999;76774200
2021-02-08;136.03000;136.96001;134.92000;136.91000;71297200
2021-02-05;137.35001;137.42000;135.86000;136.75999;75693800
2021-02-04;136.30000;137.39999;134.59000;137.39000;84183100
2021-02-03;135.75999;135.77000;133.61000;133.94000;89880900
2021-02-02;135.73000;136.31000;134.61000;134.99001;83305400
2021-02-01;133.75000;135.38000;130.92999;134.14000;106239800
2021-01-29;135.83000;136.74001;130.21001;131.96001;177523800
2021-01-28;139.52000;141.99001;136.70000;137.09000;142621100
2021-01-27;143.42999;144.30000;140.41000;142.06000;140843800
2021-01-26;143.60001;144.30000;141.37000;143.16000;98390600
2021-01-25;143.07001;145.09000;136.53999;142.92000;157611700
2021-01-22;136.28000;139.85001;135.02000;139.07001;114459400
2021-01-21;133.80000;139.67000;133.59000;136.87000;120529500
2021-01-20;128.66000;132.49001;128.55000;132.03000;104319500
2021-01-19;127.78000;128.71001;126.94000;127.83000;90757300
2021-01-15;128.78000;130.22000;127.00000;127.14000;111598500
2021-01-14;130.80000;131.00000;128.75999;128.91000;90221800
2021-01-13;128.75999;131.45000;128.49001;130.89000;88636800
2021-01-12;128.50000;129.69000;126.86000;128.80000;91951100
2021-01-11;129.19000;130.17000;128.50000;128.98000;100620900
2021-01-08;132.42999;132.63000;130.23000;132.05000;105158200
2021-01-07;128.36000;131.63000;127.86000;130.92000;109578200
2021-01-06;127.72000;131.05000;126.38000;126.60000;155088000
2021-01-05;128.89000;131.74001;128.42999;131.00999;97664900
2021-01-04;133.52000;133.61000;126.76000;129.41000;143301900
2020-12-31;134.08000;134.74001;131.72000;132.69000;98990400
2020-12-30;135.58000;135.99001;133.39999;133.72000;96452100
2020-12-29;138.05000;138.78999;134.34000;134.87000;121047300
2020-12-28;133.99001;137.34000;133.50999;136.69000;124486200
2020-12-24;131.32001;133.46001;131.10001;131.97000;54930100
2020-12-23;132.16000;132.42999;130.78000;130.96001;88223700
2020-12-22;131.61000;134.41000;129.64999;131.88000;168904800
2020-12-21;125.02000;128.31000;123.45000;128.23000;121251600
2020-12-18;128.96001;129.10001;126.12000;126.66000;192541500
